                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.4363,                 0.5577,                 1.2221,                0.75334,                 0.6858,                0.76503,                0.41232,                  1.725,                 1.8123,                 1.5721,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.4345,                0.56177,                 1.2218,                0.79524,                0.64028,                0.77361,                0.43765,                 1.5564,                  1.501,                 1.4355,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.4203,                0.55611,                 1.2086,                0.85251,                0.68662,                0.83143,                0.48096,                 1.5681,                 1.4983,                 1.4414,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.4184,                0.55195,                 1.2142,                0.80889,                0.70688,                0.83248,                0.46031,                  1.669,                 1.2989,                 1.5003,               0.007921,               0.007921,               0.007921
                    107,                 1.4147,                 0.5543,                 1.2217,                0.85101,                0.68902,                0.86134,                0.47184,                  1.671,                 1.4119,                  1.523,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.4123,                0.55045,                 1.2135,                0.73969,                0.77392,                0.85893,                0.44343,                 1.7774,                 1.3583,                 1.5916,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.4182,                0.55354,                 1.2196,                0.69597,                0.68655,                0.77162,                0.39442,                 1.7412,                 1.6328,                 1.5713,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.4083,                0.55219,                 1.2077,                0.69548,                0.61017,                0.72621,                0.36543,                 1.8496,                 2.0481,                 1.6346,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.4209,                0.54851,                 1.2101,                0.68299,                0.86259,                0.84976,                0.44138,                 1.7601,                 1.3493,                 1.5736,               0.007822,               0.007822,               0.007822
                    112,                 1.4141,                0.55153,                 1.2124,                 0.8716,                0.64249,                 0.8219,                0.37279,                 1.9877,                  1.436,                 1.7176,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.4058,                 0.5531,                 1.2072,                0.81414,                0.84353,                 0.8995,                0.50772,                 1.6094,                 1.1063,                 1.4727,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.4269,                0.54585,                 1.2227,                0.79993,                0.74847,                0.89539,                0.47432,                 1.7242,                 1.3853,                 1.5658,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.4217,                0.55856,                 1.2152,                0.80531,                0.71958,                0.79524,                0.41194,                 1.7908,                 1.6367,                 1.6384,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.4131,                0.55811,                 1.2142,                0.79064,                0.80204,                0.85615,                0.46127,                   1.65,                 1.2655,                 1.5134,               0.007723,               0.007723,               0.007723
